FactFinder_GEOID,FIPS,Name,Latitude,Longitude,Square_Miles,Pop_per_Square_Mile,Total_Households,F__Foreign_Born_Population,Average_Household_Size,F__Veterans,F__Disabled,F__Bachelors_Degree,F__Graduate_Degree,F__Broadband,Median_Household_Income,Mean_Minutes_To_Work,F__Unemployment_Rate,F__With_Health_Insurance,Median_Monthly_Mortgage,Median_Monthly_Rent,F__Vacant_Units,F__Pre_War_Units,F__Homeowners,F__Renters,Gini_Index,Total_Population,F__Population_Under_5,F__Population_Under_18,F__Population_65_,Median_Age,Age_Dependency_Ratio,Old_age_Dependency_Ratio,Child_Dependency_Ratio,Mean_Commute_Minutes,F__Drove_Alone_to_Work,F__Transit_to_Work,F__Walk_to_Work,F__Bike_to_Work,F__Work_at_Home,Women_Aged_15_to_50,F__Single_Mothers,Annual_Births_per_1K_Women,Enrolled_in_School,K_12_Enrollment,Undergrad_Enrollment,Grad_School_Enrollment,F__No_Vehicle,Shape_Length,Shape_Area
310M500US10100,10100,"Aberdeen, SD",45.5215645,-98.6960983,2839.0000000,15.0841846,17849.0000000,3.7000000,2.3199999,6.6999998,11.1000004,20.8999996,8.1999998,79.6999969,59270.0000000,13.3000002,1.6000000,92.0999985,1325.0000000,692.0000000,11.1000004,21.7999992,65.5999985,34.4000015,0.4446000,42824.0000000,6.1999998,23.6000004,17.2999992,37.2999992,69.1999969,29.2000008,39.9000015,13.3000002,81.0000000,0.1000000,3.0000000,0.6000000,6.1999998,9413.0000000,28.6000004,70.0000000,10346.0000000,7245.0000000,2100.0000000,305.0000000,7.1999998,605901.573223949875683,15200843625.469226837158203
310M500US10140,10140,"Aberdeen, WA",47.1400375,-123.7820587,1901.0000000,38.2845879,28722.0000000,4.8000002,2.4300001,12.3000002,19.1000004,10.8000002,5.5999999,83.0000000,51240.0000000,27.1000004,3.5999999,92.6999969,1366.0000000,775.0000000,20.7999992,22.0000000,67.0000000,33.0000000,0.4463000,72779.0000000,5.4000001,20.5000000,21.0000000,44.0000000,71.0999985,36.0000000,35.0999985,27.1000004,77.0000000,1.0000000,3.0000000,0.5000000,6.6999998,13852.0000000,39.7000008,52.0000000,14270.0000000,11039.0000000,2281.0000000,145.0000000,7.0999999,478868.066435599292163,11289424845.187097549438477
310M500US10180,10180,"Abilene, TX",32.4497757,-99.7175522,2743.0000000,62.2198334,60931.0000000,5.5999999,2.5699999,10.3000002,16.0000000,15.3000002,7.6999998,76.5999985,52511.0000000,17.8999996,2.0000000,85.5999985,1263.0000000,907.0000000,14.8000002,8.0000000,62.0000000,38.0000000,0.4524000,170669.0000000,6.8000002,23.7000008,14.8999996,34.0999985,62.7999992,24.2000008,38.5999985,17.8999996,80.3000031,0.5000000,1.9000000,0.3000000,5.5000000,39678.0000000,34.7000008,61.0000000,44394.0000000,28679.0000000,11409.0000000,1748.0000000,5.5999999,461365.410991695884150,10055204965.869382858276367
310M500US10220,10220,"Ada, OK",34.7299614,-96.6830063,720.0000000,53.2708321,14278.0000000,2.2000000,2.5799999,7.0999999,15.8999996,17.5000000,10.6999998,69.0999985,50392.0000000,17.7999992,2.7000000,83.6999969,1133.0000000,707.0000000,15.3999996,8.1999998,65.9000015,34.0999985,0.4503000,38355.0000000,6.5999999,23.5000000,16.3999996,35.7000008,66.1999969,27.2000008,39.0000000,17.7999992,85.0000000,0.7000000,2.0999999,0.3000000,1.6000000,9108.0000000,36.0999985,65.0000000,10295.0000000,6455.0000000,2678.0000000,455.0000000,5.3000002,257257.383680084836669,2817736149.015729427337646
310M500US10300,10300,"Adrian, MI",41.8947525,-84.0660400,750.0000000,131.1746674,38345.0000000,2.3000000,2.4300001,8.3000002,15.5000000,13.6999998,7.3000002,81.5999985,55450.0000000,27.2000008,2.8000000,94.3000031,1179.0000000,767.0000000,12.5000000,23.7000008,77.5000000,22.5000000,0.4170000,98381.0000000,5.4000001,21.2000008,18.2999992,41.9000015,65.4000015,30.2999992,35.0999985,27.2000008,83.8000031,0.3000000,2.8000000,0.4000000,3.4000001,20503.0000000,37.0999985,63.0000000,22685.0000000,15831.0000000,4975.0000000,575.0000000,5.0999999,240674.963692638964858,3558946201.497490406036377
310M500US10380,10380,"Aguadilla-Isabela, PR",18.3345184,-66.9556732,472.0000000,637.9385376,,,,,,,,,16470.0000000,25.2999992,7.1999998,94.6999969,787.0000000,425.0000000,25.6000004,1.2000000,65.4000015,34.5999985,0.5360000,301107.0000000,4.0999999,19.2000008,20.0000000,42.5999985,64.5999985,32.9000015,31.6000004,25.2999992,83.0000000,0.4000000,2.8000000,0.4000000,2.4000001,69093.0000000,50.5000000,28.0000000,68569.0000000,44968.0000000,17650.0000000,2114.0000000,15.0000000,228907.190540707262699,1370785431.097641706466675
310M500US10420,10420,"Akron, OH",41.1482315,-81.3496628,900.0000000,782.0499878,286543.0000000,4.9000001,2.4000001,7.4000001,13.1999998,19.8999996,11.8000002,82.3000031,57285.0000000,23.7999992,3.5000000,94.5000000,1270.0000000,830.0000000,9.1000004,18.3999996,66.5999985,33.4000015,0.4693000,703845.0000000,5.4000001,20.6000004,17.1000004,40.2999992,60.5000000,27.5000000,33.0999985,23.7999992,84.6999969,1.3000000,1.6000000,0.1000000,4.5000000,163103.0000000,39.2000008,51.0000000,171802.0000000,106524.0000000,43624.0000000,10919.0000000,8.0000000,283787.880175900703762,4243662103.789377689361572
310M500US10460,10460,"Alamogordo, NM",32.6144638,-105.7398071,6613.0000000,10.0010586,23634.0000000,11.3000002,2.6400001,16.2000008,18.6000004,10.5000000,6.9000001,78.3000031,41988.0000000,19.5000000,3.7000000,91.5000000,955.0000000,792.0000000,25.6000004,2.8000000,64.1999969,35.7999992,0.4724000,66137.0000000,6.8000002,23.3999996,17.0000000,35.7999992,67.6999969,28.5000000,39.2000008,19.5000000,79.8000031,0.9000000,3.0000000,0.3000000,3.4000001,13971.0000000,37.5999985,80.0000000,15058.0000000,10831.0000000,2696.0000000,540.0000000,6.5999999,712714.128579446580261,24378457026.562911987304688
310M500US10500,10500,"Albany, GA",31.6460800,-84.1169510,1591.0000000,93.2972946,55714.0000000,2.3000000,2.5599999,8.8000002,15.3000002,11.5000000,8.5000000,74.8000031,44844.0000000,20.6000004,6.1999998,84.5000000,1170.0000000,756.0000000,14.6999998,4.5000000,54.2999992,45.7000008,0.4751000,148436.0000000,6.4000001,24.2999992,15.3999996,36.9000015,66.0000000,25.6000004,40.4000015,20.6000004,81.1999969,1.0000000,1.6000000,0.1000000,3.8000000,36470.0000000,56.0999985,57.0000000,42560.0000000,27515.0000000,10412.0000000,1611.0000000,10.0000000,370845.153210219461471,5790233662.858994483947754
310M500US10540,10540,"Albany-Lebanon, OR",44.4893913,-122.5375977,2287.0000000,54.6777420,47762.0000000,4.4000001,2.5899999,11.1999998,17.8999996,13.3000002,6.0000000,83.0000000,55893.0000000,22.7999992,3.9000001,92.9000015,1421.0000000,964.0000000,5.3000002,10.5000000,64.4000015,35.5999985,0.4213000,125048.0000000,6.0000000,22.7000008,18.2999992,39.5999985,69.5999985,31.0000000,38.5000000,22.7999992,79.3000031,0.2000000,2.2000000,0.6000000,5.0000000,27799.0000000,18.3999996,47.0000000,27801.0000000,20524.0000000,4660.0000000,1215.0000000,5.5999999,506358.564724136260338,11766185098.338592529296875
